Date,Amount
02Jun2016,13589.6
25Jan2016,13381.78
28Sep2017,13243.52
23Jun2014,13209.2
28Dec2016,13041.71
08Jan2016,12940
25May2015,12000
02Aug2017,12000
19Jun2017,11793.18
01Sep2014,10500
21Apr2015,10443.58
23Feb2016,10306.18
29May2017,10287.55
18Oct2016,10050.15
22Sep2016,10035.43
29Apr2014,10000
29Aug2014,10000
30Jun2015,10000
04Jan2016,10000
16Feb2016,10000
22Sep2016,10000
25Oct2016,10000
04Nov2016,10000
26Jan2017,10000
13Mar2017,10000
27Mar2017,10000
06May2015,9647.02
04Mar2016,8000
21Nov2016,8000
25Nov2016,8000
29Aug2016,7264.25
30Mar2017,6623.83
03Nov2014,6193
25Oct2016,5624.55
04Jan2017,5300
02Apr2015,5000
24Apr2015,5000
05May2015,5000
14Dec2015,5000
24Dec2015,5000
06Jun2016,5000
29Nov2016,5000
20Mar2017,5000
11Sep2017,5000
28Dec2016,4962.87
08Feb2016,4800
19Oct2016,4700
04Apr2017,4600
29Jun2015,4500
04Aug2015,4500
03Jun2015,4200
05May2015,4000
17Aug2015,4000
09Apr2016,4000
08Jan2016,3645
17Nov2014,3500
29Dec2015,3470
02Oct2015,3400
30May2017,3325.26
09Sep2016,3104
22Jul2015,3000
01Dec2015,3000
05Jul2016,3000
18Jul2016,3000
30Jun2016,2950
02Nov2015,2940
05Jan2017,2914.33
03Sep2015,2900
09Jan2016,2859
03Mar2017,2500
09Sep2016,2235
24Feb2017,2200
05Jan2016,2100
10Apr2017,2098.63
03Mar2016,2031
14Nov2014,2000
02Apr2015,2000
20Jul2017,2000
04Aug2015,1600
18Nov2016,1591.12
11Apr2017,1550.26
27Jun2016,1550
09Sep2016,1504
03Mar2015,1500
12Mar2015,1500
28Nov2016,1500
30Mar2016,1484.1
29Apr2017,1418.62
13Apr2017,1409
16Apr2016,1214.1
11Apr2017,1192
18Oct2014,1147.6
08Apr2015,1143.97
01Aug2015,1100
31Jul2015,1005.88
27Jun2014,1000
06Aug2014,1000
01Sep2014,1000
10Nov2014,1000
12Mar2015,1000
20Dec2016,1000
23Jan2017,1000
11Jan2017,999
28May2015,986.32
04Apr2017,873.8
20Feb2016,857.6
22Sep2014,755
05Dec2016,700
19Dec2016,434
20Oct2014,375
15Mar2016,346
16Mar2016,346
07Feb2017,346
01Mar2016,340
01Apr2016,339.86
12Sep2015,337
31Dec2015,329
20Nov2015,282
11Jun2014,250
23Oct2014,250
21Jul2014,200
30Jun2014,190
31Jul2015,132.81
15Feb2016,130.81
11Apr2016,108.4
20Jun2014,100
09Jul2014,100
14Jul2014,100
05May2016,100
09Mar2017,100
11Jun2014,70
28Oct2014,67.07
08Oct2015,66
23Apr2015,64.12
13Jul2016,62.55
27Dec2014,49.59
28Jan2014,49.27
29Aug2016,44.43
27Jun2017,39.92
08Mar2016,38
14Mar2016,38
04Apr2016,38
10May2016,38
20May2016,38
22Jun2016,38
11Jul2016,38
18Aug2016,38
08Sep2014,37
26Sep2014,36.02
25Feb2016,32.54
27Dec2013,29.07
27Sep2017,27.13
25Feb2014,26.44
28Jan2015,24.57
27Aug2014,24.53
27Mar2014,24.07
26Jun2014,23.85
27Jan2016,22.99
28Dec2015,22.13
28Mar2017,21.86
27Nov2013,21.34
27May2017,21.11
26Nov2015,19.18
27Jul2017,18.21
27Oct2016,17.28
26Jun2015,14.64
27Sep2016,14.08
28Jul2014,13.97
27Mar2015,13.53
26Mar2016,13.5
28Jul2015,13.36
26Nov2016,12.75
28Aug2017,12.61
28Oct2013,12.49
25Apr2017,12.16
27May2016,11.02
28May2014,10.94
25Feb2015,10.87
28Oct2015,10.78
27Aug2015,10.77
26Sep2015,10.72
24Feb2017,10.09
27Jan2017,9.94
28Dec2016,8.38
26Apr2016,8.22
25Apr2015,7.28
06Oct2015,7.09
27Aug2016,7.06
25Apr2014,6.67
27Jun2016,5.22
27Jul2016,5.03
26Sep2013,2.63
28Jul2014,-0.03
25Apr2014,-0.08
27Jan2017,-0.09
26Sep2015,-0.17
27May2015,-0.99
27Jan2016,-1.09
13May2017,-1.86
26Mar2016,-2.5
26Nov2016,-2.5
03Mar2015,-3
28Jan2014,-3.5
28Jan2015,-3.5
25Apr2015,-3.5
27May2015,-3.5
27Aug2015,-3.5
26Sep2015,-3.5
25Apr2015,-3.77
10Sep2014,-4.5
13Sep2014,-4.5
27Jul2017,-4.5
28Aug2017,-4.5
20Feb2016,-5
08Feb2017,-6
09Mar2017,-6
22Mar2017,-6
25Mar2017,-6
01Apr2017,-6
28Apr2017,-6
04May2017,-6
30May2017,-6
02Jun2017,-6
03Jul2017,-6
26Jul2017,-6
07Aug2017,-6
26Jun2015,-6.75
08Sep2014,-6.76
22Aug2015,-6.99
26Jun2014,-7
26Jun2015,-7
04Aug2015,-7.98
20Mar2017,-7.99
05Jan2015,-8.5
03Jan2015,-9
10Feb2015,-9
08Oct2014,-9.5
18Oct2014,-9.5
30Mar2015,-9.5
01Apr2015,-9.5
03Mar2015,-9.6
08Nov2016,-9.95
29Jan2014,-10
13Nov2014,-10
17Dec2014,-10
06Jan2015,-10
06Jan2015,-10
24Jul2015,-10
05Oct2015,-10
12May2017,-10
20Dec2013,-10.25
27May2015,-10.34
06Aug2016,-10.5
08Sep2016,-10.5
01Oct2016,-10.5
10Nov2016,-10.5
25Apr2014,-11.2
28May2014,-11.2
27Dec2014,-11.2
28Jul2015,-11.35
29Sep2014,-12
29Sep2014,-12
04Jul2017,-14
26Aug2017,-14
23Sep2017,-14
25Apr2015,-14.18
19Dec2016,-14.9
08Dec2014,-15
27Mar2015,-15
14Dec2016,-15.99
26Aug2016,-17
15Dec2015,-17.11
16Jan2017,-17.46
26Jul2014,-17.95
05Nov2016,-18
03May2017,-18
28Jan2014,-18.5
28Jan2015,-19.3
26Sep2015,-19.3
11Aug2014,-19.8
22Oct2014,-19.8
22Oct2014,-19.9
10Jul2015,-19.98
03Dec2014,-19.99
29Nov2013,-20
05Nov2016,-20
25May2016,-20.4
06Jan2015,-21.9
04Oct2016,-21.99
24Mar2017,-21.99
22Aug2015,-23
29Apr2015,-23.39
15Sep2014,-23.5
23Nov2016,-23.71
17Jan2014,-23.95
17Jan2017,-24
25Nov2016,-24.36
19Jun2015,-24.4
05May2014,-25
20Jan2015,-25
25Jul2015,-25
16Nov2016,-25
27Aug2015,-25.7
18Oct2016,-25.8
02Dec2016,-25.98
31Mar2017,-25.98
18Jan2017,-26
22Mar2017,-26
22Mar2017,-26
31May2016,-26.97
01Jun2016,-26.97
02Jun2016,-26.97
07Jun2016,-26.97
06Jul2016,-26.97
07Jul2016,-26.97
27Jul2017,-28
28Aug2017,-28
12Jul2017,-29
10Mar2014,-29.09
30Dec2014,-29.4
18Aug2014,-29.98
08Jan2015,-30
08May2017,-30
26Jun2014,-30.75
02Dec2015,-30.98
29Sep2016,-31
16Nov2016,-31.4
28Mar2017,-31.48
20Feb2016,-32
24May2016,-32
07Jan2017,-32
04Jun2016,-32.57
03Jun2017,-32.9
21May2015,-32.99
03Jan2015,-33
13Jan2016,-34.82
23Sep2015,-34.95
20Dec2014,-35
22Mar2016,-35
22Mar2016,-35
11Apr2016,-35
09Sep2016,-35
25Oct2016,-35
15Dec2016,-35
20Mar2017,-35
01Apr2017,-35.34
23Mar2016,-35.8
08Nov2016,-35.8
13Jan2017,-35.98
22Nov2016,-35.99
30Nov2016,-36
10Nov2016,-36.41
04Nov2016,-36.94
07Jul2015,-37
07Jun2016,-37
09May2015,-37.94
06May2016,-37.98
07May2016,-37.98
10May2016,-37.98
18Mar2017,-37.98
22Mar2017,-37.98
03Jan2015,-38
29Jan2015,-38
29Sep2016,-38
22Mar2017,-38
12Jan2016,-38.46
26Jun2015,-38.6
25May2015,-38.76
06Aug2016,-38.9
23Sep2015,-38.94
18Dec2014,-39
03Jan2015,-39
07Jan2015,-39
30Sep2016,-39
24Nov2016,-39.77
13Sep2014,-39.8
08Nov2014,-39.9
21Sep2016,-39.9
19Dec2014,-39.95
08Nov2016,-39.95
23Mar2017,-39.95
01Dec2015,-39.98
24Dec2015,-39.98
28Jan2016,-39.98
19Feb2016,-39.98
20Feb2016,-39.98
02Mar2016,-39.98
31May2017,-39.98
26Aug2016,-39.99
31Jul2014,-40
15Jan2015,-40
17Apr2015,-40
20Feb2016,-40
17Aug2016,-40
04Oct2016,-40
07Feb2017,-40
16Feb2017,-40
20Mar2017,-40
27Mar2017,-40
28Apr2017,-40
29May2017,-40
30May2017,-40
15Jun2017,-40
09Jul2015,-40.3
12Mar2015,-42
28Mar2015,-42
20Feb2016,-42.44
13Dec2016,-42.5
05Jun2017,-42.75
03Nov2016,-42.94
22Jul2014,-42.99
07Nov2014,-42.99
13Sep2014,-43
06Jan2015,-43
11Jan2016,-43
26Apr2017,-43.08
06May2016,-43.2
05Nov2016,-43.98
23Nov2016,-43.98
28Nov2014,-44
01Oct2016,-44
16Jan2017,-44.85
23May2014,-45
10Nov2014,-45
24Apr2017,-45
15Mar2017,-45.95
23Nov2016,-46.49
06Dec2016,-46.53
27May2014,-46.8
26Jul2014,-47
20Sep2014,-47
26Sep2014,-47
05Nov2014,-47
12Nov2014,-47
31Dec2014,-47
31Dec2014,-47
07Jan2015,-48
14Jan2015,-48
07Feb2015,-48.3
24Dec2013,-48.8
20Feb2014,-48.8
08May2015,-48.8
12Jun2014,-48.9
10Jul2015,-48.9
25Jun2015,-49
22Aug2015,-49.45
16Jan2014,-49.9
14Jan2016,-49.98
15Jan2016,-49.98
16Jan2016,-49.98
01Mar2016,-49.98
29Jul2014,-50
17Nov2014,-50
04Dec2014,-50
13Feb2015,-50
10Mar2015,-50
26Mar2015,-50
24Apr2015,-50
24Jul2015,-50
21Aug2015,-50
18Apr2016,-50
23Feb2017,-50.2
06Dec2016,-50.72
09Dec2016,-50.79
06Dec2016,-50.99
08Dec2014,-51
22Mar2017,-51.2
03Jan2015,-52
05Jun2014,-52.9
07Jan2017,-53
07Jan2017,-53
22Mar2017,-53
19Dec2016,-53.5
07Jun2016,-54
07Jun2016,-54
18Feb2017,-54
23May2017,-54.55
05Jan2015,-54.8
16Feb2015,-54.9
03Mar2016,-54.98
17Feb2017,-54.98
11Feb2017,-55.6
27Sep2013,-55.9
13Jan2015,-55.9
03Jan2015,-56
06Jan2015,-56
09Sep2015,-56
02Sep2017,-56
20Mar2017,-56.8
07Mar2017,-56.98
07May2015,-57
17Jun2015,-57
25Jun2015,-57
27Jun2015,-57
22Jun2017,-57
22Nov2016,-57.98
08Jul2015,-58
06Aug2015,-58
23Dec2013,-58.49
14Mar2017,-58.49
24Jul2015,-58.9
11Sep2015,-58.9
28Oct2013,-59
27Nov2013,-59
27Dec2013,-59
28Jan2014,-59
25Feb2014,-59
27Mar2014,-59
25Apr2014,-59
28May2014,-59
26Jun2014,-59
28Jul2014,-59
27Aug2014,-59
26Sep2014,-59
28Oct2014,-59
26Nov2014,-59
27Dec2014,-59
01Oct2015,-59.5
29Aug2017,-59.9
19Nov2016,-59.97
10Dec2013,-60
08Dec2014,-60
20Jun2015,-60
14Dec2016,-60
04Jan2017,-60
30Aug2017,-60
24May2017,-60.86
15Oct2016,-60.9
21Jan2015,-61.7
24Nov2016,-61.89
09Jun2014,-61.9
17Dec2016,-62
16Feb2017,-62
17Dec2016,-62.98
28Mar2017,-62.98
08Dec2014,-63
06Jan2015,-63
23Oct2015,-63
11Mar2017,-63.52
12May2017,-64
19Jun2017,-64
21Jun2017,-64
03Sep2016,-64.95
19Jun2015,-65
13May2017,-65
15Dec2014,-65.04
26Feb2014,-65.24
21Nov2016,-65.8
14Feb2017,-65.8
18Feb2017,-65.8
21Feb2017,-65.8
01Mar2017,-65.8
09Mar2017,-65.8
13Mar2017,-65.8
19Apr2017,-65.8
03May2017,-65.8
10May2017,-65.8
30May2017,-65.99
28Jan2015,-66
25Feb2015,-66
27Mar2015,-66
25Apr2015,-66
27May2015,-66
26Jun2015,-66
28Jul2015,-66
27Aug2015,-66
26Sep2015,-66
06Oct2015,-66
28Oct2015,-66
26Nov2015,-66
28Dec2015,-66
27Jan2016,-66
25Feb2016,-66
26Mar2016,-66
26Apr2016,-66
27May2016,-66
27Jun2016,-66
27Jul2016,-66
27Aug2016,-66
27Sep2016,-66
27Oct2016,-66
26Nov2016,-66
28Dec2016,-66
27Jan2017,-66
24Feb2017,-66
28Mar2017,-66
25Apr2017,-66
27May2017,-66
27Jun2017,-66
27Jul2017,-66
28Aug2017,-66
27Sep2017,-66
28Nov2016,-66.15
21Oct2013,-66.25
17Sep2016,-66.89
20Sep2016,-66.89
06Jun2014,-66.9
29Mar2017,-66.98
23Oct2015,-67
01Aug2014,-67.01
22Jul2014,-67.85
22Apr2017,-68
22Jun2017,-68
07Jan2015,-68.4
03Mar2017,-68.97
25Mar2015,-69
25Jul2015,-69
26Apr2017,-69.1
28Feb2017,-69.47
18May2017,-69.65
16Nov2016,-69.89
17Dec2016,-69.9
19Dec2014,-69.95
09Jul2015,-69.95
08Mar2017,-69.97
15Mar2017,-69.98
05Jan2015,-70
15Dec2015,-70
26Sep2016,-70
05Jun2014,-71
25Jul2014,-71
25Jul2014,-71
17Sep2014,-71
25Sep2014,-71
05Nov2014,-71
12Nov2014,-71
31Dec2014,-71
31Dec2014,-71
17Jun2015,-71.49
10Dec2016,-71.9
12Dec2014,-72
10Dec2016,-72
25Apr2017,-72.8
11Mar2014,-72.9
08Sep2014,-72.92
28Sep2015,-73.21
13Jun2017,-73.57
24Jun2014,-74.21
21Sep2016,-74.28
20Jan2015,-74.39
12Dec2014,-74.8
23Mar2017,-74.97
23Apr2014,-74.99
26Feb2014,-75
11Aug2015,-75
28Nov2014,-75.63
06Jan2015,-75.9
19Jun2017,-75.93
19May2014,-76.34
23Dec2013,-76.6
27Aug2014,-76.95
14Dec2016,-76.99
06Jan2017,-77
03Dec2014,-77.4
26Feb2014,-77.62
23Apr2014,-77.94
11Aug2015,-78
07Jan2017,-78
07Jan2017,-78
31Mar2014,-78.86
18May2017,-78.95
24Dec2015,-79.66
25Jun2014,-79.8
29Jul2014,-79.8
28Apr2016,-79.94
06Dec2013,-80
08Jun2016,-80
19Dec2016,-80
09Jan2017,-80
16Aug2017,-80
07Dec2016,-80.58
16Feb2016,-81
05Aug2016,-81.8
25Feb2014,-82
12Jan2015,-82
06Dec2016,-82
24Mar2017,-82.17
20Feb2017,-82.95
29Aug2016,-83
18May2017,-83.06
10Feb2017,-83.97
26Feb2014,-84.28
23Jan2017,-84.3
19Nov2016,-84.97
05Sep2017,-84.99
03Jan2015,-85
31Mar2015,-85
26Nov2016,-85.79
15Mar2017,-86.47
06May2017,-86.94
22Nov2016,-86.98
23Mar2015,-87.3
10Oct2015,-87.97
22Sep2014,-88
13Apr2017,-88
08Jan2015,-88.8
20Aug2015,-89
16Apr2014,-90
27May2014,-90
02Jul2014,-90
10Nov2014,-90
21Jan2015,-90
05May2015,-90
25Sep2015,-90
29Dec2015,-90
17Nov2016,-90.28
05Oct2015,-91
02Apr2015,-91.7
14Mar2017,-91.8
24Aug2017,-92.4
31Jul2014,-92.9
01Dec2016,-92.94
06Jan2015,-93.8
18May2017,-94.86
18Apr2017,-94.95
12May2017,-94.95
23Feb2015,-95
28Feb2015,-95
17Apr2015,-95
18Jan2017,-96
17Aug2015,-96.39
09Jan2017,-97
15Feb2017,-97.07
12Dec2014,-97.38
27Jul2017,-97.47
18Mar2017,-97.96
23Feb2017,-98
18Apr2017,-98
18May2017,-98.11
31Jan2015,-98.12
12Dec2016,-98.99
30Jul2014,-99
23Jan2016,-99
22Feb2016,-99
18Aug2017,-99.8
24Dec2014,-99.9
28Jan2014,-100
14Mar2014,-100
19Apr2014,-100
29Apr2014,-100
03May2014,-100
26May2014,-100
02Jun2014,-100
10Jun2014,-100
05Sep2014,-100
15Sep2014,-100
23Sep2013,-100
15Oct2014,-100
01Apr2015,-100
29Apr2015,-100
24Aug2015,-100
19Aug2016,-100
06Sep2016,-100
06Sep2016,-100
06Sep2016,-100
26Sep2016,-100
15Jun2017,-100
15Dec2016,-101.47
29May2017,-101.58
10Feb2017,-101.88
07Dec2013,-102
25Mar2017,-102
20Feb2017,-102.4
16Aug2017,-102.4
26Nov2016,-103.21
05Jul2017,-103.47
14Feb2017,-104
13May2017,-104.06
05Oct2016,-104.1
14Feb2017,-105.38
18Mar2017,-106.4
06Dec2013,-106.97
16Jan2014,-107
16Feb2015,-107.5
18Apr2015,-107.5
08May2017,-107.7
20Feb2017,-107.78
27May2014,-108
16Sep2015,-109
18Dec2014,-109.8
19Oct2013,-109.9
19Jun2017,-109.99
01Jul2014,-110
01Aug2014,-110
01Sep2014,-110
01Oct2014,-110
03Nov2014,-110
01Dec2014,-110
02Jan2015,-110
02Feb2015,-110
29Jun2015,-110
29Aug2016,-110
08Mar2017,-111.57
02May2017,-112.45
30Jun2015,-113.08
29Nov2016,-113.3
30Dec2014,-113.95
20Aug2015,-114.8
23Sep2016,-114.95
02Feb2015,-115
21Nov2016,-115
15Dec2015,-115.6
01Apr2017,-115.96
20Aug2015,-116.22
12Jun2017,-116.5
03Dec2016,-116.7
19Dec2014,-117.6
12Jul2017,-117.7
12Apr2017,-117.78
12Dec2016,-117.8
13Jan2017,-118.49
30Nov2016,-119.95
07Mar2015,-120
13Mar2015,-120
27Mar2015,-120
16Apr2015,-120
19Mar2016,-120
18Feb2017,-120
21Aug2017,-120
22Dec2014,-120.85
23Jul2015,-122
03Feb2015,-122.4
10Feb2014,-122.5
08Mar2014,-123.8
19Oct2015,-124
21Nov2016,-124.91
24Feb2014,-125
06Jan2015,-125
29Jun2015,-125.43
05Aug2015,-125.43
21Jul2014,-126
14Jan2015,-126.05
02Jan2014,-126.21
25Aug2015,-126.85
19May2017,-126.9
11Feb2017,-127
26Oct2013,-127.2
13Jan2015,-127.42
22Feb2017,-127.9
24Feb2015,-129
03Apr2017,-129
08May2017,-129.9
13Jan2015,-129.95
05Sep2015,-130
29Sep2015,-130
12May2016,-130
03Nov2016,-130
08May2017,-130
19Dec2016,-130.3
05Sep2017,-130.43
23Nov2015,-130.5
17Sep2016,-134
30Sep2016,-134.8
26Jan2015,-135
09Feb2017,-135
15Jan2015,-135.9
22Oct2016,-136.43
12Dec2016,-136.8
14Feb2015,-137
12Oct2013,-137.56
18Oct2016,-138.8
19Jun2017,-139
08Jun2017,-139.38
06Jun2017,-139.94
03Jun2015,-140
20Oct2015,-140
14Jan2016,-140
25Aug2016,-140
10Jan2017,-140
29Apr2017,-140
12Jun2017,-140
28Mar2017,-140.4
28Apr2017,-140.48
08Aug2016,-141.08
14Apr2015,-142.4
19Apr2014,-143.99
28Nov2016,-143.99
09May2017,-144.44
17Dec2016,-144.9
02Oct2015,-145
21Oct2016,-145
05Sep2017,-145.46
11Aug2015,-146.4
11Dec2014,-146.9
24Aug2015,-147.7
29Sep2015,-147.93
07Oct2015,-149
26Nov2015,-149
20Feb2017,-149.9
04Sep2017,-149.9
16May2014,-150
05Jul2014,-150
31Oct2016,-150
23Jan2017,-150
07Feb2015,-150.09
20Jan2015,-150.6
06Jun2017,-150.83
27Sep2016,-151.84
21Jun2014,-152
05Aug2014,-152.99
21Oct2015,-153.2
21May2015,-153.31
06Sep2016,-153.33
19Jun2017,-154
10Jul2017,-154.38
19Apr2014,-154.52
28Nov2016,-154.57
30Aug2017,-154.88
09Sep2015,-155.37
08Sep2014,-155.7
20Jun2017,-156.47
27Feb2015,-159
31Mar2015,-159
30Apr2015,-159
15Jul2014,-159.6
16Jul2014,-159.7
25Apr2017,-159.91
15Dec2014,-160
18Apr2015,-160.44
02Jun2017,-160.47
02Jun2017,-162.43
15Dec2016,-163
23Jan2017,-163.46
24Jul2015,-164
03May2017,-164.34
22Mar2017,-164.57
27Feb2017,-164.91
18Aug2015,-165
12Jun2017,-165
13Sep2014,-165.3
26Aug2017,-166
18Jun2015,-167.5
28Dec2013,-168.4
15Nov2016,-168.67
22Apr2014,-169.04
26May2014,-170
08May2017,-170
08Jun2017,-170
28Nov2016,-170.39
26Apr2017,-170.91
22Aug2017,-170.96
19Aug2015,-171.96
21Aug2015,-173
16Jan2014,-173.23
28Jan2015,-173.71
05Jun2015,-174
30Aug2017,-174.37
09Mar2015,-174.5
19Apr2017,-175.95
06Jul2015,-176
12Oct2015,-176.4
24Dec2014,-176.73
07Apr2016,-176.79
24Jun2017,-177
08Apr2017,-177.78
03Apr2017,-178
09Nov2016,-178.44
09Jun2015,-178.67
19Jul2014,-179
22Jan2015,-179
31Oct2015,-179
12Dec2014,-179.8
29Nov2016,-179.96
10Jan2014,-180
05Mar2014,-180
15Nov2014,-180
02Mar2015,-180
13Apr2015,-180
20Jul2015,-180
05Sep2016,-180
28Jun2017,-180
20May2014,-180.23
10Feb2017,-181
22Sep2016,-182.74
20Apr2017,-182.94
23Mar2017,-183.07
14Sep2016,-183.7
10Nov2014,-185.7
12Jan2015,-185.89
19Dec2016,-186.2
14Jun2014,-187.64
27Dec2013,-188.25
04Feb2015,-188.6
09May2017,-189.35
24Dec2014,-189.77
22Jan2016,-190
03Apr2017,-190
11Mar2014,-190.37
11Sep2017,-190.44
03Jan2017,-190.7
21May2016,-191.39
31Mar2014,-191.79
30Aug2017,-193.86
09Oct2015,-194.98
04May2017,-195.2
27May2015,-197.2
17Jun2015,-197.83
27Mar2014,-198
23Apr2014,-198
04May2015,-198
28Nov2016,-199.67
05May2017,-199.89
14Oct2013,-200
05Dec2013,-200
09Dec2013,-200
08Feb2014,-200
21Feb2014,-200
26Feb2014,-200
05May2014,-200
06May2014,-200
03Jun2014,-200
26Jun2014,-200
24Jul2014,-200
18Aug2014,-200
26Aug2014,-200
06Sep2014,-200
30Sep2013,-200
02Oct2014,-200
22Oct2014,-200
30Oct2014,-200
07Nov2014,-200
13Nov2014,-200
17Nov2014,-200
03Dec2014,-200
10Dec2014,-200
19Dec2014,-200
09Jan2015,-200
21Jan2015,-200
30Jan2015,-200
02Mar2015,-200
09Mar2015,-200
22Apr2015,-200
11Aug2015,-200
15Sep2015,-200
16Mar2016,-200
21Apr2016,-200
13Jul2016,-200
01Aug2016,-200
31Aug2016,-200
20Sep2016,-200
07Oct2016,-200
08Oct2016,-200
25Nov2016,-200
10Dec2016,-200
17Dec2016,-200
23Jan2017,-200
23Jan2017,-200
08Feb2017,-200
06Mar2017,-200
20Mar2017,-200
31Mar2017,-200
18Apr2017,-200
24Apr2017,-200
05Jul2017,-200
11Jul2017,-200
05Aug2017,-200
29Aug2017,-200
07Sep2017,-200
22Feb2016,-200.79
13Feb2014,-200.95
30Aug2014,-202.41
18May2017,-203.28
15Sep2016,-203.88
11Jun2014,-204
07Sep2017,-205
01Oct2016,-205.95
28Sep2015,-206.03
23May2017,-206.34
19Sep2014,-206.4
11Feb2017,-208.3
08Sep2015,-208.98
01Oct2015,-210
12Dec2016,-210
02May2017,-210
12Jun2017,-210
15Jun2017,-210
18Nov2014,-210.96
09Jun2015,-211.76
30Jun2017,-212.1
28Jan2015,-212.97
15Jun2015,-213.08
21Jul2015,-215
07Sep2015,-216.45
06Jan2015,-216.48
29Aug2016,-216.92
10Oct2016,-217
19Jan2016,-217.1
02Jan2014,-217.4
23Sep2016,-217.8
19Aug2014,-218.47
15Jul2015,-218.99
22Jun2017,-219.32
30Jul2015,-219.59
13Jun2015,-219.91
09Dec2014,-220
14Jul2015,-220
16Nov2016,-220
07Dec2016,-220
06Apr2017,-222.41
19May2017,-222.83
15Jul2015,-223.45
06Dec2016,-224.15
17Oct2015,-226
18Dec2014,-226.77
31Aug2016,-227.5
10Aug2016,-227.68
14Jan2015,-230
07Mar2017,-230
24Apr2017,-230
02Jun2017,-230
15Apr2017,-230.34
05Dec2014,-231.18
24Feb2014,-233.88
02Mar2015,-234
29May2015,-234.8
13Jan2014,-235
05Sep2014,-235
06Jun2015,-239.5
06Jun2015,-239.63
24May2014,-239.98
19Jun2015,-240
10Sep2016,-240
14Dec2016,-240
12Sep2017,-240
17Feb2017,-240.25
11Jul2015,-242.52
12Mar2015,-243.84
10Jul2017,-245
16Mar2017,-245.74
31Dec2014,-245.98
30Jun2015,-246.43
27Sep2016,-246.92
20Jul2015,-249
17Feb2017,-249.99
03Apr2014,-250
23Mar2015,-250
15Jun2015,-250
22Aug2015,-250
12Sep2015,-250
26Oct2015,-250
14Jun2016,-250
25Jul2016,-250
12Sep2016,-250
15Feb2017,-250
03May2017,-250
01Jun2017,-250
17Jun2017,-250
20Mar2017,-251.04
06Mar2015,-253
06Jan2015,-254.6
19Dec2014,-255
19Apr2017,-255.4
04Jul2017,-255.41
29Apr2017,-256
09Jan2017,-257.97
08Jul2017,-259.23
14Sep2015,-259.95
08Jun2015,-260
27Jun2015,-260
10Oct2015,-260
10Sep2016,-260
26Nov2016,-260
10Mar2017,-260
16Jul2015,-262.49
10Jul2017,-263.96
09May2015,-264.59
03Jan2015,-265
24Nov2016,-266.38
09Jan2015,-267.83
17Jan2017,-269.97
10Jan2014,-270
02Sep2014,-270
26Feb2015,-270
20Apr2017,-270
09Jan2017,-270.3
11Apr2017,-271.35
03Jul2017,-271.41
11Dec2014,-273
23Feb2017,-273.7
04Jul2017,-274.5
16Feb2015,-275
09Jun2015,-275
26Sep2017,-275
19Jun2017,-276.88
15Apr2015,-277
26Sep2016,-278.68
20Jan2015,-279.51
24Aug2017,-279.73
11Dec2015,-279.94
15Nov2016,-280
03Feb2015,-280.3
03Jan2014,-281.7
21May2014,-282.46
27Oct2016,-284.06
19Jan2016,-286
08Apr2017,-286.46
29Jul2014,-288.5
23Jan2017,-289.97
